Address,Cost,Property Type,Bedrooms,Bathrooms,Latitude,Longitude,Closest Gov Secondary School,Gov Secondary Distance,Age under 20,Age 20-39,Age 40-59,Age 60+,Postcode
"1108/241 Harbour Esplanade, Docklands VIC 3008",$1100 per week *Partially Furnished*,Apartment,3,3,-37.8132032,144.9429762,University High School,2.1 km away,9%,68%,19%,4%,3008
"3601E/888 Collins Street, Docklands VIC 3008","$1,200 Per Week",Apartment,3,2,-37.8204734,144.9425146,University High School,2.9 km away,11%,60%,22%,6%,3008
"2806N/889 Collins Street, Docklands VIC 3008","$1,150/week",Apartment,3,2,-37.82091399999999,144.9418601,University High School,2.9 km away,11%,60%,22%,6%,3008
"182/8 Waterside Pl, Docklands VIC 3008","$1,050",Apartment,3,2,-37.8199171,144.9422038,University High School,2.8 km away,11%,60%,22%,6%,3008
"3301/100 Harbour Esplanade, Docklands VIC 3008","LEASED $1,250 per week",Apartment,3,2,-37.81837549999999,144.9468886,University High School,2.5 km away,9%,71%,16%,4%,3008
"3602/100 Harbour Esplanade, Docklands VIC 3008","$1,250 pw",Apartment,3,2,-37.81837549999999,144.9468886,University High School,2.5 km away,9%,71%,16%,4%,3008
"1904/7 Siddeley Street, Docklands VIC 3008","$1,580pw | 3mnths free rent* & car park",Apartment,3,2,-37.8215124,144.9545467,University High School,2.7 km away,13%,50%,27%,10%,3008
"2205/687 Latrobe Sreet, Docklands VIC 3008","$1,475",Apartment,3,2,-37.8146734,144.9465087,University High School,2.1 km away,9%,71%,16%,4%,3008
"1505/70 Lorimer Street, Docklands VIC 3008",Price on Application,Apartment,3,2,-37.824749,144.9455412,,,16%,27%,33%,24%,3008
"325/57 Spencer Street, Docklands VIC 3008",$850,Apartment,3,1,-37.8200464,144.9542914,University High School,2.6 km away,13%,50%,27%,10%,3008
"1705/8-18 McCrae Street, Docklands VIC 3008","$1,295 Per Week",Apartment,3,2,-37.8217609,144.9507064,University High School,2.8 km away,10%,69%,19%,1%,3008
"114/60 Siddeley Street, Docklands VIC 3008","$1,250 pw",Apartment,3,2,-37.8226789,144.9525241,University High School,2.9 km away,13%,50%,27%,10%,3008
"1805/8 Waterview Walk, Docklands VIC 3008",$985 pw,Apartment,3,2,-37.8196989,144.9481318,University High School,2.6 km away,13%,64%,20%,3%,3008
"2804/7 Siddeley Street, Docklands VIC 3008","$1,645pw | 3mnths free rent* & tandem car park",Apartment,3,2,-37.8215124,144.9545467,University High School,2.7 km away,13%,50%,27%,10%,3008
"2804/81 South Wharf Drive, Docklands VIC 3008","$1,100 PER WEEK",Apartment,3,2,-37.8222526,144.9360816,,,20%,37%,32%,11%,3008
"703/915 Collins street, Docklands VIC 3008",$1050/W Furnished,Apartment,3,2,-37.8206745,144.9401081,University High School,3 km away,11%,60%,22%,6%,3008
"937 Collins Street, Docklands VIC 3008",On Hold,Apartment,3,4,-37.8203474,144.9394239,University High School,3 km away,11%,60%,22%,6%,3008
"2705/628 Flinders Street, Docklands VIC 3008",800/week,House,2,2,-37.8209722,144.9532542,University High School,2.7 km away,13%,50%,27%,10%,3008
"6/175 George Street, East Melbourne VIC 3002",$550 weekly,Apartment,1,1,-37.8153308,144.9846354,,,7%,41%,26%,27%,3002
"415/280 Albert Street, East Melbourne VIC 3002",$555,Apartment,1,1,-37.8097936,144.9817503,,,12%,33%,27%,29%,3002
"618/133 Jolimont Road, East Melbourne VIC 3002",$340.00 per week,Apartment,1,1,-37.8180346,144.9781787,,,8%,41%,27%,23%,3002
"111/133 Jolimont Road, East Melbourne VIC 3002",$350.00 per week,Apartment,1,1,-37.8180346,144.9781787,,,8%,41%,27%,23%,3002
"208/33 Cliveden Close, East Melbourne VIC 3002",$470,Apartment,1,1,-37.8170268,144.9766205,,,12%,34%,32%,22%,3002
"11/161 Wellington Parade South, East Melbourne VIC 3002",$450 per week,Apartment,1,1,-37.8166941,144.9792662,,,9%,39%,27%,24%,3002
"3/66 Simpson St, East Melbourne VIC 3002",$450 weekly,Apartment,1,1,-37.8148573,144.9883739,Richmond High School,1.3 km away,8%,45%,33%,14%,3002
"20/187 George Street, East Melbourne VIC 3002",$550 pw,Apartment,1,1,-37.8152783,144.9841693,,,7%,41%,26%,27%,3002
"707V/296 Victoria Parade, East Melbourne VIC 3002",$725.00,Apartment,1,1,-37.8091912,144.9815952,,,12%,33%,27%,29%,3002
"12/246 Albert Street, East Melbourne VIC 3002",$475 weekly,Apartment,1,1,-37.8101099,144.982837,,,12%,33%,27%,29%,3002
"3/18-30 Grey Street, East Melbourne VIC 3002",$500.00,Apartment,1,1,-37.8120023,144.9900357,,,16%,38%,26%,20%,3002
"7/458 Victoria Parade, East Melbourne VIC 3002",$590 weekly,Apartment,1,1,-37.8097723,144.9868411,,,13%,48%,21%,18%,3002
"17/246 Albert Street, East Melbourne VIC 3002",$450 pw,Apartment,1,1,-37.8101096,144.9828343,,,12%,33%,27%,29%,3002
"110/166 Wellington Parade, East Melbourne VIC 3002",$490 per week,Apartment,1,1,-37.8159843,144.9845044,,,7%,41%,26%,27%,3002
East Melbourne VIC 3002,"$1,500 per week",Apartment,1,1,-37.81032829999999,144.9834796,,,12%,33%,27%,29%,3002
"86 Hotham Street, East Melbourne VIC 3002",From $475 per week - FURNISHED,Apartment,1,1,-37.8141406,144.9874786,,,16%,35%,25%,24%,3002
"303/166 Wellington Parade, East Melbourne VIC 3002",$650,Apartment,2,1,-37.8159843,144.9845044,,,7%,41%,26%,27%,3002
"9/2 Wellington Crescent, East Melbourne VIC 3002",$850,Apartment,2,2,-37.8177808,144.9777171,,,8%,41%,27%,23%,3002
"108/1 Powlett Street, East Melbourne VIC 3002",$850,Apartment,2,2,-37.81609359999999,144.9849532,,,7%,41%,26%,27%,3002
"G08W/189 Powlett Street, East Melbourne VIC 3002",$650,Apartment,2,2,-37.8104068,144.9859454,,,11%,52%,28%,10%,3002
"10/53 Grey Street, East Melbourne VIC 3002",$550.00,Apartment,2,1,-37.8122729,144.9875689,,,16%,35%,25%,24%,3002
"21/322 Albert St, East Melbourne VIC 3002","$1,100 weekly",Apartment,2,2,-37.8098272,144.9802798,,,12%,41%,25%,22%,3002
"715V/162 Albert Street, East Melbourne VIC 3002",$615,Apartment,2,1,-37.8100432,144.9855313,,,11%,52%,28%,10%,3002
"2/60 Simpson Street, East Melbourne VIC 3002",$740 pw,Apartment,2,1,-37.8150768,144.9883529,Richmond High School,1.3 km away,8%,45%,33%,14%,3002
"213/150 Clarendon Street, East Melbourne VIC 3002","$2,200",Apartment,2,2,-37.8120899,144.9835967,,,13%,18%,23%,46%,3002
"Unit 64/1 Wellington Cres, East Melbourne VIC 3002",$650 per week,Apartment,2,1,-37.8173777,144.9781787,,,8%,41%,27%,23%,3002
"113M/201 Powlett Street, East Melbourne VIC 3002",$660,Apartment,2,1,-37.8096583,144.9856197,,,11%,52%,28%,10%,3002
"104M/201 Powlett Street, East Melbourne VIC 3002",$620,Apartment,2,1,-37.8096583,144.9856197,,,11%,52%,28%,10%,3002
"109/150 Clarendon Street, East Melbourne VIC 3002",$1595 per week,Apartment,2,2,-37.8122133,144.983552,,,13%,18%,23%,46%,3002
"26/211 Wellington Parade South, East Melbourne VIC 3002",$920,Apartment,3,2,-37.816431,144.9774516,,,8%,41%,27%,23%,3002
"1302/1 Powlett Street, East Melbourne VIC 3002",$1795 Per Week,Apartment,3,2,-37.81609359999999,144.9849532,,,7%,41%,26%,27%,3002
"38/400 Victoria Parade, East Melbourne VIC 3002",$950 per week,Apartment,3,2,-37.8095495,144.98486,,,12%,33%,27%,29%,3002
"1/36 Clarendon St, East Melbourne VIC 3002","$3,250.00",Apartment,3,2,-37.8153453,144.9829837,,,7%,41%,26%,27%,3002
"538 Victoria Parade, East Melbourne VIC 3002",$570 pw,House,2,1,-37.8101552,144.9894319,,,13%,48%,21%,18%,3002
"109/166 Wellington Parade, East Melbourne VIC 3002",$625 per week,House,2,1,-37.8159843,144.9845044,,,7%,41%,26%,27%,3002
"17 Grey Street, East Melbourne VIC 3002","$1,800",House,3,1,-37.812555,144.990191,,,16%,38%,26%,20%,3002
"40/1 Wellington Crescent, East Melbourne VIC 3002",$800 per week,House,3,1,-37.8173777,144.9781787,,,8%,41%,27%,23%,3002
"15 Berry Street, East Melbourne VIC 3002","$2,600.00 Per Week",House,4,3,-37.8187649,144.9884278,Richmond High School,1.3 km away,15%,22%,31%,32%,3002
"13/388 Inkerman Street, St Kilda East VIC 3183",$485 per week,Apartment,1,1,-37.8671088,145.006769,Elwood College,2.6 km away,24%,41%,24%,11%,3183
"9/20 Loch Avenue, St Kilda East VIC 3183",$370,Apartment,1,1,-37.87526260000001,145.005415,Elwood College,2 km away,36%,28%,20%,15%,3183
"6/106 Alexandra Street, St Kilda East VIC 3183",$270 per week,Apartment,1,1,-37.8614553,145.003865,,,18%,47%,29%,6%,3183
"14/380 Inkerman Street, St Kilda East VIC 3183",$390 Per Week,Apartment,1,1,-37.8670192,145.0061328,Elwood College,2.5 km away,24%,41%,24%,11%,3183
"6/250 Dandenong Road, St Kilda East VIC 3183",$370 Per Week,Apartment,1,1,-37.8592538,145.0006146,,,25%,34%,27%,14%,3183
"11/58 Alma Rd, St Kilda East VIC 3183",$330 weekly,Apartment,1,1,-37.8626178,145.0005983,Elwood College,2.6 km away,12%,40%,25%,23%,3183
"14/7 Cardigan Street, St Kilda East VIC 3183",$450.00,Apartment,1,1,-37.8655045,145.0010896,Elwood College,2.3 km away,14%,50%,28%,8%,3183
"14/7 Cardigan Street, St Kilda East VIC 3183",$450.00,Apartment,1,1,-37.8655045,145.0010896,Elwood College,2.3 km away,14%,50%,28%,8%,3183
"10/388 Inkerman Street, St Kilda East VIC 3183",$495 per week,Apartment,1,1,-37.8671088,145.006769,Elwood College,2.6 km away,24%,41%,24%,11%,3183
"9/21 Chusan Street, Balaclava VIC 3183",$375.00,Apartment,1,1,-37.8673417,144.998922,Elwood College,2.1 km away,23%,34%,29%,14%,3183
"5/254-256 Dandenong Road, St Kilda East VIC 3183",$410 per week,Apartment,1,1,-37.8593356,145.0009763,,,25%,34%,27%,14%,3183
"4/28 Wilgah Street, St Kilda East VIC 3183",$500 pw,Apartment,1,1,-37.8654815,145.0046584,Elwood College,2.6 km away,25%,41%,26%,7%,3183
"7/85 Grosvenor Street, St Kilda East VIC 3183",$330.00 per week,Apartment,1,1,-37.8734309,144.995617,Elwood College,1.4 km away,32%,35%,24%,9%,3183
"29/4 Wando Grove, St Kilda East VIC 3183",$330 per week,Apartment,1,1,-37.8608641,145.0082207,,,8%,57%,28%,6%,3183
"11/21 Chusan Street, Balaclava VIC 3183",$375.00,Apartment,1,1,-37.8673417,144.998922,Elwood College,2.1 km away,23%,34%,29%,14%,3183
"45/9 Fulton Street, St Kilda East VIC 3183",$495.00,Apartment,1,1,-37.8612981,144.998274,,,12%,40%,25%,23%,3183
"104 alexandra street, St Kilda East VIC 3183",$488,Apartment,1,1,-37.8624473,145.0038643,,,16%,42%,30%,12%,3183
"20/130 Alma Road, St Kilda East VIC 3183",$495 pw,Apartment,1,1,-37.8620498,144.9974015,,,16%,45%,29%,11%,3183
"10/8 Cardigan Street, St Kilda East VIC 3183",$475 pw,Apartment,1,1,-37.8652257,145.0013615,Elwood College,2.4 km away,14%,50%,28%,8%,3183
"7 Raglan Street, St Kilda East VIC 3183",$385 per week,Apartment,1,1,-37.862974,144.994278,Elwood College,2.3 km away,15%,48%,28%,9%,3183
"12/378 Inkerman Street, St Kilda East VIC 3183",$460 Per Week,Apartment,2,1,-37.8670132,145.0060387,Elwood College,2.5 km away,24%,41%,24%,11%,3183
"4/44 Lansdowne Road, St Kilda East VIC 3183",$470.00,Apartment,2,1,-37.8656073,145.0063526,Elwood College,2.6 km away,24%,41%,24%,11%,3183
"3/27 Lansdowne Road, St Kilda East VIC 3183",$790 pw,Apartment,2,2,-37.864013,145.0065276,Elwood College,2.8 km away,25%,33%,27%,15%,3183
"4/72 Westbury Street, St Kilda East VIC 3183",$530.00,Apartment,2,1,-37.8657344,144.9962852,Elwood College,2.1 km away,21%,35%,29%,15%,3183
"4/68 Westbury Street, St Kilda East VIC 3183",$490 pw,Apartment,2,1,-37.8653459,144.9963523,Elwood College,2.1 km away,21%,35%,29%,15%,3183
"3/215 Alma Road, St Kilda East VIC 3183",$575.00,Apartment,2,1,-37.8634905,145.0068008,Elwood College,2.8 km away,25%,33%,27%,15%,3183
"7/13 Cardigan Street, St Kilda East VIC 3183",$480 pw,Apartment,2,1,-37.8655518,145.0014426,Elwood College,2.4 km away,14%,50%,28%,8%,3183
"2/388 Inkerman Street, St Kilda East VIC 3183",$695 per week,Apartment,2,2,-37.8671088,145.006769,Elwood College,2.6 km away,24%,41%,24%,11%,3183
"4/431 Inkerman St, St Kilda East VIC 3183",$550 weekly,Apartment,2,1,-37.8669917,145.0024512,Elwood College,2.3 km away,30%,40%,20%,10%,3183
"8/6 Sidwell Ave, St Kilda East VIC 3183",$700 weekly,Apartment,2,1,-37.8691498,145.0058189,Elwood College,2.4 km away,27%,27%,25%,20%,3183
"3/320 Dandenong Rd, St Kilda East VIC 3183",$560 weekly,Apartment,2,1,-37.8599758,145.0063679,,,16%,42%,30%,12%,3183
"6/17 Wilgah Street, St Kilda East VIC 3183",$550 pw,Apartment,2,1,-37.8658218,145.0040729,Elwood College,2.5 km away,25%,41%,26%,7%,3183
"101/2a Nelson St, Balaclava VIC 3183",$650 weekly,Apartment,2,1,-37.8658605,144.994003,Elwood College,2 km away,18%,49%,25%,9%,3183
"9/57 Westbury St, St Kilda East VIC 3183",$550 weekly,Apartment,2,1,-37.8629958,144.9963629,Elwood College,2.4 km away,19%,39%,28%,15%,3183
"3/5B The Avenue, Balaclava VIC 3183",$450 per week,Apartment,2,1,-37.8714742,144.9951672,Elwood College,1.5 km away,19%,47%,23%,11%,3183
"4/103 Grosvenor Street, Balaclava VIC 3183",$700 pw,Apartment,2,1,-37.8736416,144.997204,Elwood College,1.5 km away,32%,35%,24%,9%,3183
"13/15 Hotham Street, St Kilda East VIC 3183",$430 per week,Apartment,2,1,-37.8608363,145.0008429,,,25%,34%,27%,14%,3183
"102/80 Westbury St, St Kilda East VIC 3183",$650 weekly,Apartment,2,2,-37.8664934,144.9961342,Elwood College,2 km away,14%,50%,24%,12%,3183
"5/5A The Avenue, Balaclava VIC 3183",$495 pw,Apartment,2,1,-37.8714532,144.9949161,Elwood College,1.5 km away,19%,47%,23%,11%,3183
"13/20 Orange Grove, St Kilda East VIC 3183",$405 pw,Apartment,2,1,-37.8678311,144.9965086,Elwood College,1.9 km away,14%,50%,24%,12%,3183
"1/14 Carlisle Avenue, Balaclava VIC 3183",$875 per week,Apartment,3,1,-37.8704759,144.9961549,Elwood College,1.6 km away,22%,35%,29%,15%,3183
"2/107 Hotham Street, St Kilda East VIC 3183",$720.00 per week,Apartment,3,1,-37.8705483,144.999012,Elwood College,1.8 km away,21%,38%,27%,14%,3183
"10/340 Dandenong Road, St Kilda East VIC 3183","$1,015 per week",Apartment,3,1,-37.8605515,145.0081807,,,8%,57%,28%,6%,3183
"201/132 Hotham Street, St Kilda East VIC 3183","$1,100 pw",Apartment,3,2,-37.8738704,144.9988197,Elwood College,1.5 km away,40%,25%,21%,14%,3183
"4/29 Fulton Street, St Kilda East VIC 3183",$650 pw,Apartment,3,1,-37.8613764,144.9997591,,,12%,40%,25%,23%,3183
"5/107 Hotham Street, St Kilda East VIC 3183",$875 per week,Apartment,3,1,-37.8705613,144.9990358,Elwood College,1.8 km away,21%,38%,27%,14%,3183
"1/4A Meadow Street, St Kilda East VIC 3183",$725.00,Apartment,3,2,-37.8711047,145.0063993,Elwood College,2.3 km away,25%,27%,19%,28%,3183
"8 Celeste Court, St Kilda East VIC 3183",$965 per week,Apartment,3,1,-37.8630289,145.0086027,,,16%,52%,24%,8%,3183
"31 Fulton Street, St Kilda East VIC 3183","$1,025 per week",Apartment,3,2,-37.8615553,144.999947,,,12%,40%,25%,23%,3183
"55-57 Hotham Street, St Kilda East VIC 3183",$995 per week,Apartment,3,1,-37.8650459,145.0000388,Elwood College,2.3 km away,21%,35%,29%,15%,3183
"7/29 Fulton Street, St Kilda East VIC 3183",$975 per week,Apartment,3,1,-37.8613764,144.9997591,,,12%,40%,25%,23%,3183
Balaclava VIC 3183,$790 per week,Apartment,3,1,-37.8688878,144.9944005,Elwood College,1.7 km away,22%,35%,29%,15%,3183
"42 Westbury Grove, St Kilda East VIC 3183",$790 pw,House,2,1,-37.8641075,144.9997783,Elwood College,2.4 km away,17%,46%,28%,9%,3183
"9 Loch Avenue, St Kilda East VIC 3183",$925.00 per week,House,3,2,-37.8757316,145.0062039,Elwood College,2 km away,26%,38%,20%,17%,3183
"11 Godfrey Ave, St Kilda East VIC 3183",$795 weekly,House,3,1,-37.863496,144.9934545,Elwood College,2.2 km away,26%,31%,31%,12%,3183
"23 Elm Grove, St Kilda East VIC 3183",$630 per week,House,3,1,-37.8752311,144.9968939,Elwood College,1.3 km away,32%,35%,24%,9%,3183
"1/25 Raglan Street, St Kilda East VIC 3183",$745 per week,House,3,2,-37.8638148,144.9941471,Elwood College,2.2 km away,26%,31%,31%,12%,3183
"39 Evelyn Street, St Kilda East VIC 3183",$1250 Per Week,House,3,2,-37.8652152,144.9929154,Elwood College,2 km away,26%,31%,31%,12%,3183
"9 Linton Street, Balaclava VIC 3183",$1195 Per Week,House,3,2,-37.8662317,144.9925587,Elwood College,1.9 km away,18%,49%,25%,9%,3183
"5 Elm Grove, Balaclava VIC 3183",$875 pw,House,3,1,-37.8753097,144.9975996,Elwood College,1.4 km away,32%,35%,24%,9%,3183
"38A Alexandra Street, St Kilda East VIC 3183","$1,025 per week",House,3,1,-37.86590109999999,145.0030889,Elwood College,2.4 km away,25%,41%,26%,7%,3183
"195A Alma Road, St Kilda East VIC 3183","$1,200",House,4,2,-37.8632395,145.0043753,Elwood College,2.7 km away,16%,46%,28%,10%,3183
"2A Loch Avenue, St Kilda East VIC 3183",$1440 per week,House,4,3,-37.8754689,145.0071718,Elwood College,2.1 km away,36%,28%,20%,15%,3183
"6/45 Southey Street, Elwood VIC 3184",$420.00 per week,Apartment,1,1,-37.876766,144.987253,Elwood College,0.6 km away,30%,28%,30%,12%,3184
"7/26 Byrne Ave, Elwood VIC 3184",$370 weekly,Apartment,1,1,-37.8839218,144.9816798,Elwood College,0.3 km away,22%,29%,33%,15%,3184
"4/145-147 Ormond Road, Elwood VIC 3184",$550,Apartment,1,1,-37.8859735,144.988928,Elwood College,0.6 km away,25%,32%,36%,7%,3184
"10/24 Scott Street, Elwood VIC 3184",$525.00,Apartment,1,1,-37.8797555,144.9915823,Elwood College,0.7 km away,17%,42%,32%,8%,3184
"4/14 Austin Avenue, Elwood VIC 3184",$495 per week,Apartment,1,1,-37.8817026,144.9902707,Elwood College,0.5 km away,29%,28%,33%,9%,3184
"9/12 May Street, Elwood VIC 3184",$450,Apartment,1,1,-37.8787213,144.9920942,Elwood College,0.8 km away,17%,42%,32%,8%,3184
"109/122 Ormond Road, Elwood VIC 3184",$500 weekly,Apartment,1,1,-37.8860178,144.9883279,Elwood College,0.6 km away,20%,39%,32%,9%,3184
"14/40 Ormond Rd, Elwood VIC 3184",$500 weekly,Apartment,1,1,-37.8839226,144.9848237,Elwood College,0.2 km away,19%,35%,35%,11%,3184
"11/26 Pine Avenue, Elwood VIC 3184",$400 per week,Apartment,1,1,-37.887759,144.987579,Elwood College,0.7 km away,20%,39%,32%,9%,3184
"303/60-62 Broadway, Elwood VIC 3184",$670 Per Week,Apartment,1,1,-37.8788986,144.9829373,Elwood College,0.4 km away,27%,22%,37%,14%,3184
"3/33 Docker Street, Elwood VIC 3184",$510 per week,Apartment,1,1,-37.887571,144.9867523,Elwood College,0.7 km away,20%,39%,32%,9%,3184
"6/5 Byrne Avenue, Elwood VIC 3184",$425 Per Week,Apartment,1,1,-37.8837458,144.982384,Elwood College,0.3 km away,17%,32%,35%,16%,3184
"8/6 Wave Street, Elwood VIC 3184",$380 Per Week,Apartment,1,1,-37.8838281,144.9903216,Elwood College,0.6 km away,20%,42%,30%,8%,3184
"10/93 Ormond Road, Elwood VIC 3184",$450 weekly,Apartment,1,1,-37.8851118,144.9874739,Elwood College,0.4 km away,24%,28%,34%,15%,3184
"17/57 Southey Street, Elwood VIC 3184",$550,Apartment,1,1,-37.8773939,144.9885626,Elwood College,0.6 km away,30%,28%,30%,12%,3184
"17/91 Ormond Road, Elwood VIC 3184",$400 weekly,Apartment,1,1,-37.8850241,144.9873124,Elwood College,0.4 km away,24%,28%,34%,15%,3184
"2/9 Foam Street, Elwood VIC 3184",$475 per week,Apartment,1,1,-37.8841408,144.9911748,Elwood College,0.6 km away,19%,37%,35%,9%,3184
"1/54 Tennyson Street, Elwood VIC 3184",$450 per week,Apartment,1,1,-37.8739798,144.9877195,Elwood College,0.9 km away,20%,38%,26%,16%,3184
"3/10 Scott Street, Elwood VIC 3184",$595 pw,Apartment,1,1,-37.8793857,144.9928451,Elwood College,0.8 km away,17%,42%,32%,8%,3184
"10/93 Glen Huntly Road, Elwood VIC 3184",$420/Week,Apartment,1,1,-37.8821426,144.9834329,Elwood College,0.1 km away,26%,33%,30%,10%,3184
"6/24 Tennyson Street, Elwood VIC 3184",$690,Apartment,2,1,-37.8722041,144.9865635,Elwood College,1.1 km away,21%,36%,31%,12%,3184
"5/34 Austin Avenue, Elwood VIC 3184",$570 per Week,Apartment,2,1,-37.8821951,144.9889923,Elwood College,0.4 km away,29%,28%,33%,9%,3184
"9/7 Tennyson Street, Elwood VIC 3184",$675 pw,Apartment,2,1,-37.8733871,144.9864198,Elwood College,1 km away,16%,36%,34%,14%,3184
"5/106 Addison Street, Elwood VIC 3184",$630 Per Week,Apartment,2,1,-37.8810908,144.9796392,Elwood College,0.4 km away,25%,32%,34%,10%,3184
"11A Daley Street, Elwood VIC 3184",$780 per week,Apartment,2,1,-37.8826306,144.9909904,Elwood College,0.6 km away,20%,47%,22%,11%,3184
"G01/50 Southey Street, Elwood VIC 3184",$780 Per Week,Apartment,2,2,-37.876334,144.9874582,Elwood College,0.7 km away,15%,43%,29%,13%,3184
"2/16 Tennyson Street, Elwood VIC 3184",$650 per week,Apartment,2,1,-37.8774004,144.9894922,Elwood College,0.7 km away,29%,37%,27%,6%,3184
"6/199 Ormond Road, Elwood VIC 3184",$575 per week,Apartment,2,1,-37.88726279999999,144.9909859,Elwood College,0.8 km away,25%,32%,36%,7%,3184
"4/102 Broadway, Elwood VIC 3184",$470 pw,Apartment,2,1,-37.8818937,144.9823921,Elwood College,0.2 km away,25%,32%,34%,10%,3184
"2/22 Wave Street, Elwood VIC 3184",$595 weekly,Apartment,2,1,-37.8837244,144.989341,Elwood College,0.5 km away,20%,42%,30%,8%,3184
"11/11A Milton Street, Elwood VIC 3184",$500 Per Week,Apartment,2,1,-37.874472,144.9885294,Elwood College,0.9 km away,18%,35%,33%,14%,3184
"5/46 Foam Street, Elwood VIC 3184",$500 per week,Apartment,2,1,-37.8879818,144.9887949,Elwood College,0.8 km away,20%,39%,32%,9%,3184
"49A Tennyson Street, Elwood VIC 3184",$695 pw,Apartment,2,1,-37.8766702,144.9887238,Elwood College,0.7 km away,15%,43%,29%,13%,3184
"4/21 Milton Street, Elwood VIC 3184",$440.00,Apartment,2,1,-37.8750646,144.9869855,Elwood College,0.8 km away,15%,43%,29%,13%,3184
"3/113 Addison Street, Elwood VIC 3184",$595 per week,Apartment,2,1,-37.8811019,144.9800915,Elwood College,0.4 km away,25%,32%,34%,10%,3184
"203/29-31 Ormond Road, Elwood VIC 3184",$730 per week,Apartment,2,2,-37.8828359,144.9838818,Elwood College,0.1 km away,20%,28%,38%,14%,3184
"4/45 Ormond Esplanade, Elwood VIC 3184",$670 weekly,Apartment,2,1,-37.8855456,144.981772,Elwood College,0.5 km away,17%,32%,35%,16%,3184
"3/4 Burns Street, Elwood VIC 3184",$515 weekly,Apartment,2,1,-37.8813596,144.9946149,Elwood College,0.9 km away,28%,30%,30%,12%,3184
"109/26-28 Broadway, Elwood VIC 3184",$650.00,Apartment,2,2,-37.8769772,144.9830843,Elwood College,0.6 km away,29%,30%,29%,12%,3184
"2/21 Glen Huntly Road, Elwood VIC 3184",$600 weekly,Apartment,2,1,-37.8817032,144.9804931,Elwood College,0.4 km away,25%,32%,34%,10%,3184
"6/189 Brighton Road, Elwood VIC 3184",$535,Apartment,3,1,-37.8781972,144.9930058,Elwood College,0.9 km away,17%,42%,32%,8%,3184
"7/38 Mitford Street, Elwood VIC 3184",$800 pw,Apartment,3,1,-37.8745229,144.9835571,Elwood College,0.8 km away,17%,38%,28%,17%,3184
"5/12 Southey Street, Elwood VIC 3184","$1,050 per week",Apartment,3,1,-37.8746276,144.9846166,Elwood College,0.8 km away,16%,36%,34%,14%,3184
"2/435-437 St Kilda Street, Elwood VIC 3184",$650,House,2,1,-37.8902036,144.9907108,Elwood College,1.1 km away,25%,32%,32%,11%,3184
"9/24 Kingsley Street, Elwood VIC 3184",$795 pw,House,2,1,-37.8887277,144.9898204,Elwood College,0.9 km away,25%,32%,32%,11%,3184
"24 Mason Avenue, Elwood VIC 3184",$720 Per Week,House,3,1,-37.876167,144.9900184,Elwood College,0.8 km away,12%,45%,31%,12%,3184
"6 Glen Huntly Road, Elwood VIC 3184",$1300 per week,House,3,3,-37.8820371,144.9794436,Elwood College,0.4 km away,22%,29%,33%,15%,3184
"11/31-31A George Street, Fitzroy VIC 3065",$525 pw,Apartment,1,1,-37.8074338,144.9801849,,,10%,42%,32%,16%,3065
"314/338 Gore Street, Fitzroy VIC 3065",$550 pw,Apartment,1,1,-37.7987019,144.98355,,,14%,46%,31%,9%,3065
"6/130 Nicholson Street, Fitzroy VIC 3065",$525 pw / $2282 pcm,Apartment,1,1,-37.8017109,144.9745041,,,12%,47%,26%,14%,3065
"106/45 Rose Street, Fitzroy VIC 3065",$550 per week,Apartment,1,1,-37.7956128,144.9769628,,,15%,55%,25%,5%,3065
"21/1 Saint David Street, Fitzroy VIC 3065",$530 Per Week,Apartment,1,1,-37.8005386,144.978559,,,17%,43%,29%,11%,3065
"121 Kerr Street, Fitzroy VIC 3065",$640,Apartment,1,1,-37.7966911,144.9797521,,,11%,53%,28%,8%,3065
"110/8 Royal Lane, Fitzroy VIC 3065",$1200pw - Stay 1 mth +,Apartment,1,1,-37.804475,144.9749769,,,5%,44%,22%,28%,3065
"304/57-61 Johnston Street, Fitzroy VIC 3065",$770,Apartment,2,2,-37.797988,144.976754,,,15%,55%,25%,5%,3065
"10/300 Young Street, Fitzroy VIC 3065",$600 per week,Apartment,2,1,-37.7974169,144.9799056,,,11%,53%,28%,8%,3065
"220/338 Gore Street, Fitzroy VIC 3065",$770,Apartment,2,2,-37.7987019,144.98355,,,14%,46%,31%,9%,3065
"418/338 Gore Street, Fitzroy VIC 3065",$750,Apartment,2,2,-37.7987019,144.98355,,,14%,46%,31%,9%,3065
"303/21 Rose Street, Fitzroy VIC 3065",$730pw / $3172pcm,Apartment,2,2,-37.7955428,144.9762976,,,15%,55%,25%,5%,3065
"9/98 George Street, Fitzroy VIC 3065",$600pw / $2607pcm,Apartment,2,1,-37.8054811,144.9809385,,,17%,40%,29%,15%,3065
"506/416 Gore Street, Fitzroy VIC 3065",$650.00,Apartment,2,1,-37.7968051,144.984031,,,14%,46%,31%,9%,3065
"111/48 Rose Street, Fitzroy VIC 3065",$790.00,Apartment,2,2,-37.7963746,144.9768992,,,15%,55%,25%,5%,3065
"111/48 Rose Street, Fitzroy VIC 3065",$790.00,Apartment,2,2,-37.7963746,144.9768992,,,15%,55%,25%,5%,3065
